kabupaten_kota,pengeluaran_perkapita_2015,pengeluaran_perkapita_2016,pengeluaran_perkapita_2017,pengeluaran_perkapita_2018,pengeluaran_perkapita_2019,pengeluaran_perkapita_2020,pengeluaran_perkapita_2021,pengeluaran_perkapita_2022,pengeluaran_perkapita_2023,pengeluaran_perkapita_2024
Kota Lubuklinggau,12331.0,12798.0,12878.0,13288.0,13586.0,13243.0,13267.0,13832.0,14211.0,14672.0
Kota Madiun,14723.0,15300.0,15415.0,15616.0,16040.0,16018.0,16095.0,16503.0,17115.0,17518.0
Kota Magelang,10793.0,11090.0,11525.0,11994.0,12514.0,12210.0,12349.0,12816.0,13175.0,13619.0
Kota Malang,15420.0,15732.0,15939.0,16158.0,16666.0,16593.0,16663.0,16897.0,17222.0,17791.0
Kota Manado,12933.0,13253.0,13477.0,13814.0,14232.0,13886.0,13991.0,14399.0,14822.0,15301.0
Kota Mataram,13399.0,13733.0,14316.0,14797.0,15426.0,14968.0,14999.0,15416.0,15894.0,16514.0
Kota Medan,14191.0,14393.0,14613.0,14845.0,15033.0,14890.0,14999.0,15503.0,15674.0,16069.0
Kota Metro,10707.0,11007.0,11397.0,11636.0,12017.0,11906.0,11916.0,12233.0,12618.0,13092.0
Kota Mojokerto,12060.0,12449.0,12804.0,13155.0,13710.0,13499.0,13610.0,14054.0,14422.0,14842.0
Kota Padang,13522.0,13721.0,13957.0,14312.0,14728.0,14481.0,14540.0,14889.0,15089.0,15458.0
Kota Padang Panjang,9670.0,9804.0,10240.0,10440.0,11013.0,10734.0,10754.0,11153.0,11310.0,11840.0
Kota Padangsidimpuan,9668.0,10198.0,10464.0,10795.0,11181.0,10856.0,10965.0,11337.0,11552.0,11964.0
Kota Pagar Alam,7600.0,7989.0,8352.0,8758.0,9291.0,8795.0,8877.0,9330.0,9683.0,10245.0
Kota Palangka Raya,12629.0,12899.0,13435.0,13677.0,14091.0,14055.0,14070.0,14345.0,14727.0,15188.0
Kota Palembang,13785.0,13981.0,14277.0,14697.0,15087.0,14679.0,14704.0,15168.0,15592.0,16150.0
Kota Palopo,12005.0,12156.0,12319.0,12662.0,12986.0,12995.0,13117.0,13404.0,13892.0,14369.0
Kota Palu,14545.0,14663.0,14871.0,15074.0,15205.0,14839.0,14894.0,15162.0,15501.0,15941.0
Kota Pangkal Pinang,14707.0,14807.0,14923.0,15560.0,15883.0,15663.0,15716.0,16307.0,16734.0,16750.0
